,model,pre_len,mse,mae,r2,precipitationIntensity,temperature,humidity,weatherCode
2021-07-10 10:55:00,,,,,,0.3542,15.81,74.0,Light Rain
2021-07-10 11:00:00,,,,,,0.1641,15.81,74.0,Drizzle
2021-07-10 11:05:00,,,,,,0.1641,15.81,74.0,Drizzle
2021-07-10 11:10:00,,,,,,0.1641,15.81,74.0,Drizzle
2021-07-10 11:15:00,,,,,,0.1641,15.81,74.0,Drizzle
2021-07-10 11:20:00,,,,,,0.1667,15.81,74.0,Drizzle
2021-07-10 11:25:00,,,,,,0.1693,15.81,74.0,Drizzle
2021-07-10 11:30:00,,,,,,0.1719,15.81,74.0,Drizzle
2021-07-10 11:35:00,,,,,,0.1693,15.97666667,74.0,Drizzle
2021-07-10 11:40:00,,,,,,0.1667,16.14333333,74.0,Drizzle
2021-07-10 11:45:00,,,,,,0.1641,16.31,74.0,Drizzle
2021-07-10 11:50:00,,,,,,0.143266667,16.31,74.0,Drizzle
2021-07-10 11:55:00,,,,,,0.122433333,16.31,74.0,Drizzle
2021-07-10 12:00:00,,,,,,0.1016,16.31,74.0,Drizzle
2021-07-10 12:05:00,,,,,,0.1042,16.14333333,74.66666667,Drizzle
2021-07-10 12:10:00,,,,,,0.1068,15.97666667,75.33333333,Drizzle
2021-07-10 12:15:00,,,,,,0.1094,15.81,76.0,Drizzle
2021-07-10 12:20:00,,,,,,0.093766667,15.81,76.0,Drizzle
2021-07-10 12:25:00,,,,,,0.078133333,15.81,76.0,Drizzle
2021-07-10 12:30:00,,,,,,0.0625,15.81,76.0,Drizzle
2021-07-10 12:35:00,,,,,,0.041666667000000004,15.93333333,76.0,Drizzle
2021-07-10 12:40:00,,,,,,0.020833333,16.05666667,76.0,Drizzle
2021-07-10 12:45:00,,,,,,0.0,16.18,76.0,Partly Cloudy
2021-07-10 12:50:00,,,,,,0.0,16.18,76.0,Partly Cloudy
2021-07-10 12:55:00,,,,,,0.0,16.18,76.0,Partly Cloudy
2021-07-10 13:00:00,,,,,,0.0,16.18,76.0,Cloudy
2021-07-10 13:05:00,,,,,,0.0,16.18,76.0,Cloudy
2021-07-10 13:10:00,,,,,,0.0,16.18,76.0,Cloudy
2021-07-10 13:15:00,,,,,,0.0,16.18,76.0,Cloudy
2021-07-10 13:20:00,,,,,,0.0,16.18,76.0,Cloudy
2021-07-10 13:25:00,,,,,,0.0,16.18,76.0,Cloudy
2021-07-10 13:30:00,,,,,,0.0,16.18,76.0,Cloudy
2021-07-10 13:35:00,,,,,,0.0,16.28666667,75.33333333,Cloudy
2021-07-10 13:40:00,,,,,,0.0,16.39333333,74.66666667,Cloudy
2021-07-10 13:45:00,,,,,,0.0,16.5,74.0,Cloudy
2021-07-10 13:50:00,,,,,,0.0,16.5,74.0,Cloudy
2021-07-10 13:55:00,,,,,,0.0,16.5,74.0,Cloudy
2021-07-10 14:00:00,,,,,,0.0,16.5,74.0,Cloudy
2021-07-10 14:05:00,,,,,,0.0,16.5,74.0,Cloudy
2021-07-10 14:10:00,,,,,,0.0,16.5,74.0,Cloudy
2021-07-10 14:15:00,,,,,,0.0,16.5,74.0,Mostly Cloudy
2021-07-10 14:20:00,,,,,,0.0,16.5,74.0,Mostly Cloudy
2021-07-10 14:25:00,,,,,,0.0,16.5,74.0,Mostly Cloudy
2021-07-10 14:30:00,,,,,,0.0,16.5,74.0,Partly Cloudy
2021-07-10 14:35:00,,,,,,0.0,16.70666667,73.33333333,Partly Cloudy
2021-07-10 14:40:00,,,,,,0.0,16.91333333,72.66666667,Partly Cloudy
2021-07-10 14:45:00,,,,,,0.0,17.12,72.0,Partly Cloudy
2021-07-10 14:50:00,,,,,,0.0,17.12,72.0,Partly Cloudy
2021-07-10 14:55:00,,,,,,0.0,17.12,72.0,Partly Cloudy
2021-07-10 15:00:00,,,,,,0.0,17.12,72.0,Partly Cloudy
2021-07-10 15:05:00,,,,,,0.0,16.87,72.66666667,Partly Cloudy
2021-07-10 15:10:00,,,,,,0.0,16.62,73.33333333,Partly Cloudy
2021-07-10 15:15:00,,,,,,0.0,16.37,74.0,Mostly Cloudy
2021-07-10 15:20:00,,,,,,0.0,16.37,74.0,Mostly Cloudy
2021-07-10 15:25:00,,,,,,0.0,16.37,74.0,Mostly Cloudy
2021-07-10 15:30:00,,,,,,0.0,16.37,74.0,Partly Cloudy
